"row.names","date","mktrf","smb","hml","rf","year","month","umd","dateff"
"100",1934-10-01,-0.0166,0.0125,-0.0511,0.0001,1934.0,10.0,0.0704,1934-10-31
"101",1934-11-01,0.0833,0.065,-0.0224,0.0001,1934.0,11.0,0.0414,1934-11-30
"102",1934-12-01,0.0036,0.0306,-0.032,0.0001,1934.0,12.0,0.0466,1934-12-31
"103",1935-01-01,-0.0345,0.011,-0.0186,0.0001,1935.0,1.0,0.0361,1935-01-31
"104",1935-02-01,-0.0194,0.0041,-0.0727,0.0002,1935.0,2.0,0.1385,1935-02-28
"105",1935-03-01,-0.0368,-0.0357,-0.051,0.0001,1935.0,3.0,0.0286,1935-03-30
"106",1935-04-01,0.0906,-0.0151,0.0435,0.0001,1935.0,4.0,-0.0472,1935-04-30
"107",1935-05-01,0.0347,-0.0338,0.0256,0.0001,1935.0,5.0,-0.0362,1935-05-31
"108",1935-06-01,0.0593,-0.0251,-0.0165,0.0001,1935.0,6.0,0.0206,1935-06-29
"109",1935-07-01,0.0751,0.0147,0.0686,0.0001,1935.0,7.0,-0.0421,1935-07-31
"110",1935-08-01,0.0265,0.0628,0.057,0.0001,1935.0,8.0,-0.0769,1935-08-31
"111",1935-09-01,0.0263,0.0157,-0.0405,0.0001,1935.0,9.0,0.0893,1935-09-30
"112",1935-10-01,0.0703,0.0264,-0.0233,0.0001,1935.0,10.0,0.0209,1935-10-31
"113",1935-11-01,0.0488,0.0428,0.1191,0.0002,1935.0,11.0,-0.0591,1935-11-30
"114",1935-12-01,0.0456,0.0023,0.0107,0.0001,1935.0,12.0,0.0375,1935-12-31
"115",1936-01-01,0.0689,0.0514,0.1051,0.0001,1936.0,1.0,-0.0336,1936-01-31
"116",1936-02-01,0.0249,0.0114,0.0504,0.0001,1936.0,2.0,0.0251,1936-02-29
"117",1936-03-01,0.0099,0.0065,-0.0166,0.0002,1936.0,3.0,0.0179,1936-03-31
"118",1936-04-01,-0.0814,-0.0604,-0.0208,0.0002,1936.0,4.0,-0.0788,1936-04-30
"119",1936-05-01,0.0519,0.0083,0.0263,0.0002,1936.0,5.0,0.0244,1936-05-29
"120",1936-06-01,0.024,-0.0326,-0.012,0.0003,1936.0,6.0,0.0046,1936-06-30
"121",1936-07-01,0.0667,0.0114,0.0256,0.0001,1936.0,7.0,0.03,1936-07-31
"122",1936-08-01,0.0099,0.0072,0.0399,0.0002,1936.0,8.0,0.0056,1936-08-31
"123",1936-09-01,0.0098,0.0307,0.0088,0.0001,1936.0,9.0,0.0126,1936-09-30
"124",1936-10-01,0.0712,-0.0239,0.0252,0.0002,1936.0,10.0,0.0104,1936-10-31
"125",1936-11-01,0.0327,0.0901,-0.0092,0.0001,1936.0,11.0,0.0218,1936-11-30
"126",1936-12-01,0.0021,0.0361,0.0396,0.0,1936.0,12.0,0.0211,1936-12-31
"127",1937-01-01,0.0335,0.0431,0.0261,0.0001,1937.0,1.0,-0.0185,1937-01-30
"128",1937-02-01,0.0109,0.0123,0.0505,0.0002,1937.0,2.0,0.0298,1937-02-27
"129",1937-03-01,-0.0027,-0.0178,0.0639,0.0001,1937.0,3.0,0.0281,1937-03-31
"130",1937-04-01,-0.0736,-0.0377,-0.0361,0.0003,1937.0,4.0,-0.0371,1937-04-30
"131",1937-05-01,-0.0083,-0.0066,-0.0349,0.0006,1937.0,5.0,0.0051,1937-05-28
"132",1937-06-01,-0.0421,-0.0365,-0.0321,0.0003,1937.0,6.0,0.0068,1937-06-30
"133",1937-07-01,0.0891,0.0085,0.0082,0.0003,1937.0,7.0,-0.004,1937-07-31
"134",1937-08-01,-0.0486,0.0042,-0.0225,0.0002,1937.0,8.0,-0.0179,1937-08-31
"135",1937-09-01,-0.1361,-0.0689,-0.0457,0.0004,1937.0,9.0,-0.0714,1937-09-30
"136",1937-10-01,-0.0961,0.0045,-0.0162,0.0002,1937.0,10.0,-0.0156,1937-10-30
"137",1937-11-01,-0.0831,-0.0365,0.002,0.0002,1937.0,11.0,-0.0097,1937-11-30
"138",1937-12-01,-0.0424,-0.0776,-0.0039,0.0,1937.0,12.0,0.047,1937-12-31
"139",1938-01-01,0.0049,0.0497,-0.016,0.0,1938.0,1.0,-0.0144,1938-01-31
"140",1938-02-01,0.0584,0.0035,-0.0202,0.0,1938.0,2.0,-0.0308,1938-02-28
"141",1938-03-01,-0.2382,-0.0424,-0.0352,-0.0001,1938.0,3.0,0.1575,1938-03-31
"142",1938-04-01,0.1451,0.0637,0.0018,0.0001,1938.0,4.0,-0.0888,1938-04-30
"143",1938-05-01,-0.0383,-0.0247,-0.0028,0.0,1938.0,5.0,0.0713,1938-05-31
"144",1938-06-01,0.2387,0.0405,0.003,0.0,1938.0,6.0,-0.2486,1938-06-30
"145",1938-07-01,0.0734,0.0666,0.0218,-0.0001,1938.0,7.0,-0.0644,1938-07-30
"146",1938-08-01,-0.0267,-0.0244,-0.0472,0.0,1938.0,8.0,0.0395,1938-08-31
"147",1938-09-01,0.0081,-0.0272,-0.0162,0.0002,1938.0,9.0,0.0253,1938-09-30
"148",1938-10-01,0.078,0.0583,0.0501,0.0001,1938.0,10.0,-0.077,1938-10-31
"149",1938-11-01,-0.0172,-0.0256,-0.0123,-0.0006,1938.0,11.0,0.0313,1938-11-30
"150",1938-12-01,0.0419,-0.018,0.005,0.0,1938.0,12.0,0.0205,1938-12-31
"151",1939-01-01,-0.0596,-0.0156,-0.0392,-0.0001,1939.0,1.0,-0.0305,1939-01-31
"152",1939-02-01,0.0351,0.0063,0.0295,0.0001,1939.0,2.0,0.0325,1939-02-28
"153",1939-03-01,-0.1199,-0.0476,-0.0829,-0.0001,1939.0,3.0,-0.0148,1939-03-31
"154",1939-04-01,-0.0018,0.0166,-0.003,0.0,1939.0,4.0,0.027,1939-04-29
"155",1939-05-01,0.068,0.0281,0.0047,0.0001,1939.0,5.0,0.0356,1939-05-31
"156",1939-06-01,-0.0531,-0.0102,-0.0541,0.0001,1939.0,6.0,0.0196,1939-06-30
"157",1939-07-01,0.1024,0.0432,-0.0003,0.0,1939.0,7.0,-0.0058,1939-07-31
"158",1939-08-01,-0.0668,-0.0461,-0.0242,-0.0001,1939.0,8.0,0.0584,1939-08-31
"159",1939-09-01,0.1688,0.2023,0.2222,0.0001,1939.0,9.0,-0.3035,1939-09-30
"160",1939-10-01,-0.0053,-0.0001,-0.0489,0.0,1939.0,10.0,0.0646,1939-10-31
"161",1939-11-01,-0.0362,-0.0507,-0.0646,0.0,1939.0,11.0,-0.0022,1939-11-30
"162",1939-12-01,0.0303,0.0079,-0.0406,0.0,1939.0,12.0,0.054,1939-12-30
